Headline,Type,Link
Pakistan name Aqib Javed white-ball coach till Champions Trophy 2025,Sports,https://thedailystar.net/sports/cricket/news/pakistan-name-aqib-javed-white-ball-coach-till-champions-trophy-2025-3755696
Imrul departs for one in red-ball swansong ,Sports,https://www.thedailystar.net/sports/cricket/news/imrul-departs-one-red-ball-swansong-3755001
Rishad reveals his thoughts on IPL,Sports,https://www.thedailystar.net/sports/cricket/news/rishad-reveals-his-thoughts-ipl-3754836
Kane hopes Tuchel's winning record will help end England's trophy wait,Sports,https://www.thedailystar.net/sports/football/news/kane-hopes-tuchels-winning-record-will-help-end-englands-trophy-wait-3754776
England lose three after West Indies fold for 282,Sports,https://www.thedailystar.net/sports/cricket/news/england-lose-three-after-west-indies-fold-282-3662876
"All the records broken during West Indies' stunning T20 World Cup innings
",Sports,https://www.thedailystar.net/sports/sports-special/t20-world-cup-2024/news/all-the-records-broken-during-west-indies-stunning-t20-world-cup-innings-3636416
Bentancur banned for seven games over racial slur,Sports,https://www.bbc.com/sport/football/articles/c86q570vw6xo
Australia rout Pakistan to seal T20 clean sweep,Sports,https://www.bbc.com/sport/cricket/articles/crez1nzwqj0o
"NCL round-up: Unbeaten Sylhet thrash Dhaka Metropolis, Rajshahi lose again",Sports,https://www.espncricinfo.com/story/ncl-round-5-round-up-unbeaten-sylhet-thrash-dhaka-metropolis-rajshahi-lose-again-1460223
Zimbabwe pick three uncapped players in ODI squad for Pakistan series,Sports,https://www.espncricinfo.com/story/zimbabwe-pick-three-uncapped-players-in-odi-squad-for-pakistan-series-1460220
Vettori to leave Australia Test coaching duties for IPL auction,Sports,https://www.espncricinfo.com/story/daniel-vettori-to-leave-australia-test-coaching-duties-for-ipl-auction-1460159
One-arm Agar and Rocchiccioli's rare hat-trick can't stop Victoria racing top,Sports,sheffield-shield-2024-25-1444468/victoria-vs-western-australia-
"Australia vs Pakistan 3rd T20I, LIVE Cricket Score: AUS beat PAK by seven wickets, win series 3-0",Sports,https://indianexpress.com/article/sports/cricket/australia-vs-pakistan-3rd-t20i-live-cricket-score-aus-vs-pak-today-t20-match-live-scorecard-online-9675435/
"How Prepared Are India For Perth Test? Coaches Abhishek Nayar, Morne Morkel Share Progress Report | Watch",Sports,https://www.news18.com/cricket/ind-vs-aus-how-prepared-are-india-for-perth-test-coaches-abhishek-nayar-morne-morkel-share-progress-report-watch-9123870.html
ICC Champions Trophy 2025: Tour Kicks Off In Pakistan Amid Controversy Over PoK Venues,Sports,https://zeenews.india.com/cricket/icc-champions-trophy-2025-tour-kicks-off-in-pakistan-amid-controversy-over-pok-venues-2821080.html
"SA 148-10 | IND vs SA, 4th T20 Highlights: India Thrash South Africa By 135 Runs To Win Series 3-1",Sports,https://zeenews.india.com/cricket/live-updates/ind-vs-sa-4th-t20-match-live-cricket-score-and-updates-india-vs-south-africa-scorecard-from-wanderers-stadium-johannesburg-suryakumar-yadav-aiden-markram-2820703.html
‘Game Plan Will Change’: David Warner Issues Warning To Fraser-McGurk Ahead Of Australia's 2nd T20I vs Pakistan,Sports,https://zeenews.india.com/cricket/game-plan-will-change-david-warner-issues-warning-to-fraser-mcgurk-ahead-of-australias-2nd-t20i-vs-pakistan-2820791.html
"'240 million people, 7 athletes': How Pakistan is performing in Paris Olympics after 'shameful' welcome",Sports,https://www.hindustantimes.com/sports/olympics/how-pakistan-performing-paris-olympics-after-shameful-welcome-240-million-people-7-athletes-arshad-nadeem-ind-vs-pak-101722271528252.html
Pandya crowned top T20I all-rounder after World Cup final heroics,Sports,https://www.thedailystar.net/sports/cricket/news/pandya-crowned-top-t20i-all-rounder-after-world-cup-final-heroics-3647936
[Watch] Babar Azam gets bowled by Adam Zampa for 41 in AUS vs PAK 2024 3rd T20I,Sports,https://www.sportskeeda.com/cricket/news-watch-babar-azam-gets-bowled-adam-zampa-41-aus-vs-pak-2024-3rd-t20i
[In Pictures] Pakistan's white-ball skipper Mohammad Rizwan donates a pair of gloves and a jersey to the Sydney Cricket Ground Museum,Sports,https://www.sportskeeda.com/cricket/news-in-pictures-pakistan-s-white-ball-skipper-mohammad-rizwan-donates-pair-gloves-jersey-sydney-cricket-ground-museum
Bangladesh cricket team announces 18-man squad for ODI series against West Indies,Sports,https://www.sportskeeda.com/cricket/news-bangladesh-cricket-team-announces-18-man-squad-odi-series-west-indies
"""I would have done the same"" - Travis Head backs Rohit Sharma's decision to skip Perth Test in the Border-Gavaskar Trophy 2024-25",Sports,https://www.sportskeeda.com/cricket/news-i-done-same-travis-head-backs-rohit-sharma-s-decision-skip-perth-test-border-gavaskar-trophy-2024-25
[Watch] Virat Kohli's batting video from net practice at WACA ahead of 1st IND vs AUS Test 2024 in Perth,Sports,https://www.sportskeeda.com/cricket/news-watch-virat-kohli-s-batting-video-practice-match-waca-goes-viral-ahead-1st-ind-vs-aus-test-2024-perth
Shakib Al Hasan returns as Bangladesh name preliminary squad for West Indies series,Sports,https://www.sportskeeda.com/cricket/news-shakib-al-hasan-returns-bangladesh-name-preliminary-squad-west-indies-series
"Poland vs Scotland LIVE! Nations League match updates, score, commentary and news",Sports,https://www.skysports.com/football/poland-vs-scotland/live/503669
David Silva retires from international football with Spain,Sports,https://www.skysports.com/football/news/12024/11471948/david-silva-retires-from-international-football-with-spain?dicbo=v2-OmlU9H9
West Indies vs England: Tourists clinch series with edgy three-wicket win in third T20 international in St Lucia,Sports,https://www.skysports.com/cricket/news/12123/13254427/west-indies-vs-england-tourists-clinch-series-with-edgy-three-wicket-win-in-third-t20-internatioanl-in-st-lucia?dicbo=v2-yxfqKXh
"West Indies vs England, third T20: Score, updates and analysis from third T20 as hosts secure series win",Sports,https://www.skysports.com/cricket/live-blog/33879/13254285/west-indies-vs-england-third-t20-live-score-updates-and-analysis-from-third-t20-international-in-st-lucia
Rodrigo Bentancur: Tottenham midfielder handed seven-game ban for Heung-Min Son racial slur,Sports,https://www.skysports.com/football/news/11095/13256123/rodrigo-bentancur-tottenham-midfielder-handed-seven-game-ban-for-heung-min-son-racial-slur
Man City: Pep Guardiola's side face Tottenham and Liverpool in season-defining run of fixtures,Sports,https://www.skysports.com/football/news/11096/13253010/man-city-pep-guardiolas-side-face-tottenham-and-liverpool-in-season-defining-run-of-fixtures
Tottenham 0-3 Arsenal | Women's Super League highlights,Sports,https://www.skysports.com/watch/video/13255287/tottenham-0-3-arsenal-womens-super-league-highlights
"Norway coach Stale Solbakken celebrated his team's promotion to Nations League Group A after Sunday’s victory over Kazakhstan, but emphasised that despite their potential more improvement was needed as they target qualifying for the 2026 World Cup.",Sports,https://www.reuters.com/sports/soccer/norway-must-improve-world-cup-push-after-nations-league-promotion-2024-11-18/
